name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
deshwasi,1991,145,Drama,3.6,12,Rajiv Goswami,Tom Alter,Mahesh Bhatt,Poonam Dhillon
desi boyz,2011,122,Comedy,5.7,13203,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone
desi boyz,2011,122,Drama,5.7,13203,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone
desi kattey,2014,139,Action,4,126,Kumar Anand,Akhil Kapur,Tia Bajpai,Jay Bhanushali
detective,1958,114,Mystery,6.4,15,Shakti Samanta,Pradeep Kumar,Mala Sinha,Johnny Walker
detective byomkesh bakshy!,2015,139,Action,7.7,21107,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
detective byomkesh bakshy!,2015,139,Crime,7.7,21107,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
detective byomkesh bakshy!,2015,139,Drama,7.7,21107,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
detective naani,2009,140,Crime,6.2,76,Romilla Mukherjee,Ava Mukherjee,Zain Khan,Simran Singh
detective naani,2009,140,Drama,6.2,76,Romilla Mukherjee,Ava Mukherjee,Zain Khan,Simran Singh
detective naani,2009,140,Family,6.2,76,Romilla Mukherjee,Ava Mukherjee,Zain Khan,Simran Singh
dev,2004,172,Drama,6.9,1332,Govind Nihalani,Amitabh Bachchan,Om Puri,Fardeen Khan
dev.d,2009,144,Drama,8,29283,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin
